name,dck1,dck2,dck3,pd1,pd2,pd3,pg1,pg2,pg3,rd1,rd2,rd3,rg1,rg2,rg3,sov1,sov2,sov3,yd1,yd2,yd3,yg1,yg2,yg3
AAC1,5964,4155,4000,397,546,558,403,536,300,595,315,406,546,548,503,3085,13574,3038,3024,2060,2429,863,779,450
AAC3,1172,947,859,14,27,17,815,591,219,16,7,13,690,587,552,136,864,183,1051,798,992,688,699,260
AAD3,198,124,169,80,80,185,63,69,52,81,57,69,37,65,99,60,359,79,126,119,90,61,119,56
AAD4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AAH1,642,585,605,3441,3927,8575,3466,3368,4080,2959,2835,4169,3709,3204,6282,1348,6574,1295,2708,1823,2841,4541,3624,3404
AAN1,1552,810,1171,1,56,11,21,43,16,65,44,2,23,47,18,1358,4284,1548,173,211,120,22,55,15
AAP1,289,157,290,1214,1188,1259,390,1056,540,457,872,660,514,978,659,238,762,193,607,732,476,470,1514,420
AAT1,1568,1177,1410,782,231,812,461,246,220,673,137,263,534,261,289,657,4390,860,1355,1031,1108,382,427,265
AAT2,280,299,268,0,4,1,8,20,0,12,6,0,14,37,0,193,1061,217,62,67,34,12,32,2
ABP1,1462,724,823,97,155,99,213,72,58,384,192,105,230,114,93,2567,9054,2345,621,566,514,205,225,81
ABP140,1234,684,969,267,80,73,141,108,188,177,98,268,154,78,190,1446,5133,1550,574,477,465,149,136,72
ABZ1,3600,3180,2573,3643,10799,13876,2950,8920,6297,3728,8712,7495,3279,9268,9298,826,4014,957,5081,4351,3175,4774,10844,4281
ABZ2,16,2,8,0,0,0,2,1,0,0,0,0,4,0,0,16,203,8,2,0,2,0,0,2
ACA1,1424,1046,1139,521,217,287,129,120,68,145,221,110,204,112,137,1323,5521,1675,605,524,587,182,167,61
ACB1,2611,1669,1750,309,250,346,145,439,89,239,536,163,242,304,220,2703,12353,2672,783,738,588,218,200,108
ACF2,1116,880,1218,216,202,109,279,89,68,365,50,15,309,138,101,1156,5930,1105,615,578,514,117,154,58
ACF4,770,655,625,17552,16853,61567,13202,14078,30686,15331,14987,31606,14014,15302,49415,725,3027,790,3880,3027,5174,6920,7643,8624
ACK1,1965,1547,1163,56,96,199,83,132,96,139,171,265,121,193,198,1133,5636,1179,833,775,683,229,286,96
ACL4,656,541,519,8,100,12,168,178,14,177,135,13,133,101,7,624,2930,477,346,262,253,97,80,42
ACM1,1671,1484,1123,297,414,418,232,284,269,164,334,251,205,285,255,1371,7554,1548,1466,947,947,462,327,137
ACO2,529,638,448,0,26,306,18,21,74,13,10,65,39,20,146,694,1984,500,322,203,192,51,50,31
ACS1,943,835,795,200,723,1911,282,661,705,321,557,773,337,545,664,171,1213,428,1055,1056,802,608,1191,346
ADA2,150,129,110,0,0,0,0,0,0,0,0,0,0,0,0,65,213,44,4,36,0,0,12,0
ADD37,44,0,0,0,0,0,0,0,0,1,0,0,0,0,0,62,154,16,10,12,6,2,5,0
ADD66,917,696,774,533,493,923,832,678,324,604,447,229,657,540,615,553,2653,651,1380,966,1220,1071,935,566
ADE1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,20,6,18,8,8,2
ADE16,1075,629,799,5663,7652,16422,5472,6652,6438,4564,4731,6375,6022,6439,11872,2321,9402,1682,2624,1785,2059,7701,8308,6809
ADE17,3116,2158,2265,24229,21439,45368,22768,15401,17258,18456,8533,16587,24514,14239,29602,4683,20190,4856,10478,7485,10955,22251,19528,14241
ADE3,0,0,0,0,0,330,0,0,0,0,0,0,0,0,11,8,0,0,14,6,9,8,2,10
ADE4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,2,2,0
ADE6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0
ADH2,697,1085,596,180,9,161,107,63,38,49,34,35,81,87,86,705,2845,913,514,358,334,104,60,49
ADH4,992,1176,924,177,32,5,178,53,0,27,8,4,197,83,3,1116,3848,1371,578,536,547,127,183,72
ADH5,1323,956,1014,46,354,329,34,160,51,28,240,64,35,171,30,1277,5744,1096,691,431,457,151,166,63
ADH6,3778,3040,3034,274,553,865,269,317,202,287,160,157,361,196,282,3897,14735,4208,2173,1548,1386,439,407,211
ADI1,1701,1658,1574,254,260,683,171,155,134,206,130,211,150,237,249,1941,8478,2088,870,723,638,181,212,93
ADK1,16,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,6,10,4,4,2
ADK2,7163,6271,5697,1809,766,868,297,614,304,426,1109,362,415,619,352,7091,29408,7105,3582,2928,2770,780,867,362
ADP1,701,566,569,0,30,1,0,27,9,0,2,0,5,30,2,653,2976,1005,313,130,192,45,64,22
ADR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ADY2,690,349,599,239,147,492,115,223,128,100,81,117,114,185,180,213,1425,320,491,455,444,329,388,142
ADY3,2898,2493,2162,331,161,379,140,237,156,124,211,316,194,223,174,2686,11068,2905,1695,1400,1438,445,434,179
ADY4,1577,1154,1351,498,170,382,102,158,93,52,368,79,55,136,89,2039,7477,1824,839,721,690,253,241,111
AEP1,568,430,470,0,0,2,10,11,0,0,0,0,10,16,0,374,1495,527,102,126,50,13,26,8
AEP2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFB1,754,703,570,31,42,72,100,77,51,64,30,46,115,60,46,1086,3909,752,493,391,396,123,89,58
AFG1,2640,2129,2292,115,152,153,242,184,75,209,201,140,277,164,124,2805,11090,3199,1067,894,850,264,290,131
AFG3,25,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,4,6,0,0,0,0
AFI1,185,130,149,54,50,106,70,79,45,88,80,71,71,58,105,55,401,49,130,66,108,64,82,83
AFR1,1364,1047,1123,223,95,74,83,39,95,175,103,119,168,55,81,1371,5356,1498,814,612,628,186,236,94
AFT2,935,811,862,1230,673,545,563,402,471,921,447,298,706,499,593,641,2390,597,1404,927,1030,792,718,288
AGC1,2,2,8,12,28,102,12,42,14,11,26,25,8,38,58,0,8,6,65,27,24,42,59,43
AGE1,3190,2792,2504,531,311,490,384,154,150,397,142,137,333,148,261,2843,12856,2996,1404,1006,1052,309,302,144
AGE2,2515,1957,1669,87,82,88,2299,2043,759,47,50,21,2016,2014,1920,121,840,206,1647,1176,1367,1773,1637,868
AGP2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,108,0,2,0,0,0,0,0
AGP3,805,976,845,49,54,109,62,14,30,61,26,53,56,24,54,704,4114,752,395,265,239,76,97,30
AGX1,1129,706,656,399,700,981,294,722,438,520,530,605,371,546,604,526,2812,734,517,482,394,437,859,365
AHA1,683,337,307,41,7,341,30,19,60,16,0,84,43,8,57,450,1959,432,332,251,273,65,70,47
AHC1,540,197,344,1384,655,699,1234,864,599,993,440,427,1201,874,893,113,800,164,985,594,808,1117,976,623
AHC2,769,881,796,175,39,429,119,56,94,148,41,241,166,61,131,431,2432,540,654,400,492,238,167,79
AHP1,2546,1989,1977,344,158,541,309,258,209,291,136,173,286,203,247,2480,10939,2839,1405,927,994,292,422,262
AHT1,839,410,393,388,766,1552,523,571,485,513,836,541,492,709,971,118,743,63,904,691,746,750,823,414
AIF1,250,196,141,63,6,21,38,7,8,39,46,14,41,38,11,176,739,152,130,116,111,24,31,21
AIM11,770,697,675,1,0,14,0,5,8,1,12,52,3,12,6,457,3936,522,152,195,153,37,56,21
AIM14,5311,4091,3599,685,762,921,590,498,327,568,595,415,605,532,384,5778,21296,5438,2560,2172,2144,469,623,247
AIM17,726,491,558,1059,1096,1151,863,1007,497,1343,684,721,1019,870,978,79,541,41,2146,1542,1495,1415,1398,577
AIM18,1424,1185,1162,11,10,16,75,40,37,23,5,18,75,48,59,1997,8170,1821,430,323,315,101,86,33
AIM19,2775,1922,2133,1952,2645,2984,1228,1629,1412,1618,1753,2031,1346,1994,1957,2425,11825,2649,1969,1680,1496,1313,2292,1209
AIM2,2,6,2,2,0,2,5,2,0,0,0,4,0,2,4,0,2,6,8,4,0,2,2,0
AIM20,12297,9975,11923,3092,1090,1412,1186,688,678,1236,634,783,1418,777,765,9684,45990,11124,6134,4729,4268,1490,1520,706
AIM21,1752,1624,1466,183,88,181,262,52,84,141,30,116,256,68,70,1819,9279,2213,758,553,543,186,156,58
AIM24,1748,1147,1061,112,40,64,21,30,36,32,26,74,44,32,38,1126,4941,1115,314,291,228,60,52,41
AIM25,2226,1687,1718,1313,666,532,809,563,323,882,891,407,885,493,312,2099,9460,1917,1738,1220,1256,985,972,403
AIM26,402,369,347,102,111,92,84,131,17,24,46,71,135,117,26,191,1093,188,491,338,317,217,151,76
AIM29,580,510,721,0,4,1,6,4,9,2,5,0,3,1,76,450,3113,613,129,212,94,22,33,30
AIM3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIM32,1105,961,1160,6860,8744,18471,6082,6050,7603,5052,4260,7760,6702,6114,12913,2432,11258,2227,3897,2942,4050,8329,6831,5237
AIM33,3169,1992,1950,281,513,513,294,275,99,309,209,167,227,223,187,3197,12468,2606,1357,946,1015,389,253,148
AIM34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AIM36,959,599,497,16,9,5,31,30,0,16,13,2,30,40,6,810,2886,809,203,174,155,36,31,25
AIM39,3579,2614,3221,2529,2023,3039,2250,1768,1190,1926,1188,1844,2144,1554,2355,5797,21520,5218,1961,1179,1342,2368,1994,1185
AIM4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AIM41,1875,1751,1565,46,60,82,1324,1171,489,29,13,33,1211,1096,930,385,1873,516,1834,1453,1488,1202,1136,527
AIM46,1514,1268,906,374,514,781,725,983,741,338,666,619,757,925,1165,313,1328,419,1292,937,963,978,1369,667
AIM7,798,421,656,87,129,27,89,136,31,105,144,28,105,88,25,618,2414,575,441,367,313,79,140,47
AIM9,1177,606,722,33,27,21,845,673,229,35,20,15,699,587,470,88,605,171,868,636,838,580,630,249
AIP1,1480,1260,955,8320,6691,19942,24396,18991,23207,5163,4053,7126,20584,16305,58012,1879,7222,1748,5641,3672,6915,14975,14963,22778
AIP5,4392,4444,3855,977,316,566,428,304,69,381,214,113,474,181,71,3310,19395,4274,1439,1012,1111,276,278,184
AIR1,1380,1442,1007,686,485,687,456,304,254,595,353,344,468,246,454,701,3654,951,914,741,628,285,305,116
AIT1,1122,611,769,18,74,69,55,68,50,41,112,61,32,79,66,910,4158,867,462,292,314,100,122,29
AKL1,289,227,231,156,205,1,50,43,0,139,39,1,70,20,1,277,1139,276,136,105,89,22,51,18
AKR2,1034,923,931,162,139,121,105,68,53,87,109,190,107,84,99,1065,3788,1397,531,320,331,121,79,55
ALB1,1018,494,608,114,33,77,135,36,22,176,1,6,106,12,16,720,3961,721,296,245,243,59,79,44
ALD2,1507,1131,1057,143,270,43,92,87,59,73,86,50,167,87,171,1398,5543,1563,653,494,544,149,134,69
ALD3,886,707,706,63,122,218,99,48,81,170,125,192,117,57,139,937,4125,1056,482,448,374,139,117,76
ALD4,2188,1520,1695,530,106,95,192,44,25,203,8,28,336,34,62,2311,12496,2881,657,578,571,171,181,72
ALD5,1682,991,889,345,111,178,768,969,294,292,128,78,811,924,454,716,2616,657,1278,1019,1043,680,805,319
ALF1,575,364,643,4,3,5,69,57,28,1,1,1,106,86,11,1104,3685,816,538,484,344,158,328,87
ALG12,1206,715,1394,2404,1179,1239,481,295,348,1004,1332,457,576,339,575,1253,5075,1133,1049,686,752,419,371,149
ALG2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ALG6,71,65,89,4,2,10,8,0,3,2,2,6,0,2,6,64,179,22,16,14,14,4,6,0
ALG7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ALG8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
ALK1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALO1,916,660,843,593,720,1050,487,531,499,489,679,493,644,662,613,697,2915,830,631,445,462,487,985,378
ALP1,8,4,8,0,0,0,0,0,0,0,2,0,0,0,0,3,37,6,0,0,0,0,2,0
ALR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ALR2,1680,1578,1346,394,291,427,286,176,292,278,211,223,353,205,330,658,3712,912,879,610,645,224,196,133
ALT1,1162,1351,945,637,296,1346,542,352,503,538,236,493,598,384,679,499,2425,560,1720,1313,1321,923,746,413
ALT2,48,27,36,37,36,123,13,36,22,33,53,46,6,34,53,3,20,0,38,45,18,25,65,35
ALY1,519,568,530,2011,864,1634,1245,510,690,1691,731,944,1551,537,1043,138,833,145,2163,1162,1725,1117,906,490
ALY2,927,514,520,364,202,155,363,258,203,240,124,141,397,200,299,457,2139,521,543,379,454,250,234,118
AMD1,80,51,39,44,57,291,36,57,36,42,54,82,45,51,81,6,39,7,85,61,61,66,126,113
AMD2,729,850,944,1219,3774,3143,821,2665,1178,1022,2546,1932,842,2684,1710,359,2171,381,1410,1339,1077,1430,3416,1293
AMF1,833,617,450,3458,5495,4686,1750,4092,2338,2098,3535,2125,1924,4094,3199,78,874,51,2410,2299,1638,2205,5010,1747
AMN1,801,397,519,171,114,53,140,80,43,112,111,30,141,106,68,651,2654,654,474,370,355,111,83,51
AMS1,1695,1205,1265,33,72,107,60,51,37,43,78,79,76,41,78,1529,6747,1713,418,292,246,81,88,45
ANR2,1279,789,919,1914,2956,4208,1523,2394,1786,1753,1755,2188,1670,2357,2853,221,641,226,1917,1795,1241,1534,4107,1279
ANS1,672,569,500,29,293,30,116,155,99,44,262,214,97,142,205,607,2345,737,407,373,267,69,98,48
ANY1,2445,1612,1984,568,209,60,394,220,115,317,146,142,497,232,187,3717,11837,3051,1290,764,893,339,414,163
APA1,721,821,519,1571,1246,1123,1549,1064,876,1646,804,475,1751,909,1428,311,1995,612,1719,955,1375,1544,1129,505
APA2,1498,1079,1380,96,72,296,151,86,65,101,2,46,188,52,87,1580,8760,1968,770,607,585,143,135,77
APC9,5356,4042,3874,1596,174,1220,498,224,352,749,195,406,716,202,508,5164,23245,5202,2109,1579,1765,496,536,251
APD1,1127,888,720,335,293,501,260,206,134,450,202,203,262,201,218,1046,3533,880,1202,747,897,371,271,182
APE1,469,298,476,58,5,76,33,26,9,51,26,34,20,20,24,484,2105,444,202,138,127,34,51,39
APE2,1850,1322,1268,354,15,107,58,20,88,91,7,159,54,12,99,1384,5476,1740,588,519,425,129,143,89
APE3,688,605,333,461,1148,883,681,757,610,857,628,663,952,809,580,206,1489,179,649,587,572,1002,1213,431
APE4,1325,835,727,2384,1938,3604,2242,1916,1842,1985,1710,1640,2329,1915,2463,293,1785,305,1891,1286,1596,2028,2063,851
APJ1,292,319,278,129,204,42,91,125,51,16,83,18,62,114,85,38,208,29,277,370,158,105,112,55
APL1,1492,1490,1297,299,369,297,229,68,103,408,88,180,208,92,181,1201,4570,1234,594,597,626,165,185,79
APL2,714,448,452,73,86,149,1384,1391,1025,30,23,47,1393,1143,2584,413,568,213,1507,1008,1514,1495,1293,788
APL4,501,413,225,959,3648,3099,541,4272,2117,359,1189,2018,602,3668,3502,24,281,76,1016,1088,769,979,3781,1353
APL5,3620,2236,2043,114,47,123,101,69,102,55,48,131,177,43,72,2856,12569,2848,852,628,653,129,193,89
APL6,2081,1480,1170,250,57,375,131,134,132,54,50,194,162,79,113,1222,6137,1577,981,806,653,259,350,112
APM2,896,770,517,5060,3830,9845,4869,3293,4724,3680,2626,4070,5186,3326,8969,1105,5663,1026,3232,2122,3195,4683,4464,3316
APM3,322,395,429,56,0,7,14,1,25,24,0,21,15,0,10,370,2213,375,304,210,187,38,77,22
APM4,1120,821,803,248,170,337,128,232,228,151,178,352,168,210,297,806,4723,927,401,306,278,216,257,120
APN1,384,385,555,659,1482,1702,518,1139,612,574,745,538,536,1159,951,120,960,222,805,628,610,658,1207,478
APP1,348,106,310,31,1,104,37,12,15,32,0,45,39,25,19,397,1770,322,208,139,122,58,45,42
APQ12,738,902,872,59,206,194,149,149,345,83,284,504,160,149,602,722,3025,651,1566,1686,1588,1080,1610,732
APS1,2442,1792,2268,83,131,366,192,268,174,84,80,139,178,202,287,1822,7727,1672,851,593,566,264,261,129
APS2,1018,652,799,133,139,15,76,101,24,60,218,3,95,111,75,964,3733,740,420,347,328,135,130,34
APS3,669,609,551,183,23,7,39,17,15,43,28,0,32,30,6,1070,3488,836,302,258,257,87,56,31
APT1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APT2,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,2,33,0,2,0,0,0,0,0
AQR1,395,289,367,553,2425,1842,772,1412,1325,949,1277,1218,744,1468,1298,42,109,37,795,829,651,934,1832,699
AQY2,3217,2707,2485,599,91,288,395,182,103,436,97,114,595,181,193,3336,14572,3947,1623,1104,1121,292,260,162
AQY3,3077,2017,1956,154,106,63,30,126,100,32,68,41,71,168,130,1987,9302,1972,805,626,578,161,168,95
ARA2,2250,1455,1433,168,203,210,140,116,92,76,21,98,165,98,90,1839,8982,1722,759,573,626,224,212,91
ARC1,122,97,43,0,0,0,1,0,0,0,0,0,2,0,0,107,282,11,2,21,6,1,2,6
ARC18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ARD1,12,91,96,0,2,2,0,0,0,0,1,1,0,2,4,55,453,64,26,23,16,22,43,8
ARE1,2182,1772,1689,308,140,152,98,106,52,130,58,67,116,96,53,1848,6941,2222,502,397,410,145,126,44
ARE2,61,41,139,338,438,639,274,460,288,282,338,261,304,447,437,182,803,234,262,199,290,449,406,303
ARF1,867,632,536,1,0,0,0,63,9,0,1,17,3,32,0,514,2944,482,352,508,291,152,178,59
ARF3,2026,1983,1850,207,108,336,224,68,38,600,14,36,347,84,89,2023,9917,2225,1051,792,804,233,188,115
ARG1,2192,1620,1780,397,303,260,185,246,181,307,536,233,210,197,216,1506,6134,1780,988,828,678,263,256,124
ARG2,786,598,506,173,71,292,48,128,94,127,53,51,78,81,115,318,1735,519,618,373,537,155,241,76
ARG3,942,587,648,123,120,83,171,60,76,136,68,69,243,51,112,654,1972,660,605,473,507,175,184,69
ARG4,183,90,170,249,1074,1771,403,731,725,209,868,830,311,820,806,13,153,11,557,457,326,485,1099,335
ARG56,440,488,396,110,171,172,246,83,99,164,56,75,207,121,108,327,1082,353,548,310,412,228,143,105
ARG7,0,4,0,2,0,0,2,0,0,1,0,0,0,2,2,0,16,0,2,0,2,2,0,0
ARG80,673,530,470,40,30,18,50,55,11,74,25,5,50,33,32,1022,4144,961,295,209,276,66,79,22
ARG81,367,400,438,5,11,0,0,42,0,4,18,0,4,16,2,719,2519,682,76,52,39,6,12,21
ARH1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ARI1,3500,2608,2418,284,600,402,273,438,139,229,488,278,341,387,281,3521,15680,3169,1434,1149,1127,394,355,201
ARK1,783,616,689,39,72,171,28,69,71,49,85,83,36,81,160,1032,4317,962,448,337,286,95,87,34
ARL1,551,297,326,45,74,50,79,72,34,56,28,18,97,75,66,450,1928,419,401,200,292,176,156,68
ARN1,355,349,363,3257,1906,7426,2830,1756,2439,2423,1292,2247,3027,1794,5015,773,3020,687,1926,1451,1887,2622,2430,2225
ARN2,986,628,576,6309,5353,14224,6385,4534,6959,4854,3262,5687,6743,4255,11466,1811,6661,1599,4372,3387,4450,5922,5527,4628
ARO1,253,183,145,0,0,0,0,0,0,0,0,0,0,1,0,3,68,1,14,11,6,9,4,4
ARO10,1967,1423,1364,309,297,285,130,175,40,84,162,43,183,184,104,2163,7296,2083,939,691,710,192,199,95
ARO2,242,388,360,81,32,11,52,41,18,46,26,43,38,39,30,89,214,6,157,153,123,113,84,66
ARO3,2318,1170,1641,533,128,682,139,51,64,147,59,118,165,37,143,2500,8458,1745,1063,943,825,236,277,104
ARO7,639,470,471,2964,3765,7530,3013,3045,3132,2312,2592,3463,3239,3298,5084,142,264,283,1982,1644,2049,3675,3697,2161
ARO80,2437,1926,1894,304,525,799,274,415,268,391,326,394,350,484,346,2137,8598,2068,1221,890,928,505,428,220
ARO9,130,128,67,73,10,143,6,19,27,15,0,16,8,21,63,81,621,91,80,72,83,46,41,27
ARP1,668,472,445,140,71,30,43,33,22,36,8,0,141,26,104,482,1800,403,201,192,140,35,56,13
ARP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ARP5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
ARP6,413,394,257,2,0,0,4,4,0,7,12,8,1,3,0,200,423,331,153,134,115,39,78,28
ARP8,398,276,189,0,0,3,0,4,0,0,0,2,2,0,1,584,1833,581,51,202,56,12,50,6
ART10,494,495,410,926,1845,2847,996,1174,1123,1554,1469,1483,1072,1174,1645,155,392,82,1320,999,1011,1250,1768,813
ARX1,891,528,558,0,0,38,0,8,0,1,0,2,2,6,1,707,3410,726,127,341,154,35,63,20
ASE1,696,592,771,271,15,0,149,83,20,252,46,6,191,50,38,1058,3414,916,555,435,469,184,200,84
ASF1,51,52,87,0,0,0,0,0,1,0,0,0,0,0,0,46,92,37,29,57,21,6,8,0
ASF2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0
ASG1,663,379,607,70,156,163,130,166,98,122,124,121,151,102,109,739,2889,780,883,541,557,192,140,114
ASG7,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,2,2,0,0,0,0,4,0,0
ASH1,1124,660,569,60,0,110,127,6,22,66,40,21,162,23,44,709,2916,1042,637,357,360,121,95,58
ASI1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
ASI2,1787,1628,1194,11099,10820,22425,10150,8361,9888,8308,6500,9420,10831,8531,16319,1679,8833,1352,6182,4607,6244,11054,10615,8099
ASI3,3068,2024,1960,664,359,77,221,137,92,191,129,149,291,149,159,1849,8759,2529,1256,884,883,291,303,120
ASK10,859,537,604,184,35,95,62,37,35,61,30,35,85,47,85,634,3241,781,390,301,308,67,85,47
ASN2,782,619,440,1376,1884,2971,1349,1325,1443,1659,1133,1651,1339,1468,2043,205,1483,228,2114,1179,1446,1822,1724,857
ASP1,1123,657,635,7,4,13,197,130,74,3,2,2,182,143,155,234,633,218,353,226,290,170,196,106
ASR1,529,321,310,193,9,573,90,16,36,41,21,46,90,21,68,578,2756,472,278,195,204,54,79,26
AST1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AST2,1243,833,762,91,96,336,178,104,96,334,72,105,260,98,173,1038,4564,1012,913,646,648,317,278,120
ATC1,376,365,290,155,36,108,157,53,64,166,57,136,159,55,38,683,2550,597,328,289,311,183,228,49
ATF1,1566,1541,1536,299,133,157,338,160,110,323,61,194,433,167,177,1732,6465,1668,911,805,713,225,234,110
ATF2,843,355,682,57,45,117,91,95,126,12,75,46,88,74,201,575,2074,602,350,251,317,122,107,64
ATG1,2306,2044,1896,204,436,910,295,426,406,349,405,325,384,378,444,1829,9274,2471,1073,942,734,372,672,246
ATG10,4054,3042,3037,215,229,364,314,116,241,454,95,263,399,159,250,3825,18856,4747,1910,1581,1448,357,410,158
ATG11,87,116,51,0,0,0,0,0,2,0,0,0,1,0,0,198,685,98,6,15,6,3,2,2
ATG12,1974,1313,1957,245,248,230,170,141,63,355,78,121,309,145,102,1935,7409,2311,1013,765,812,222,217,72
ATG14,697,345,391,210,1371,1743,336,545,500,334,666,562,416,769,647,105,703,115,629,692,446,297,827,185
ATG15,1545,1408,840,1382,1882,590,387,790,449,341,1432,232,516,878,247,1794,10802,1956,1037,871,587,749,1268,384
ATG16,2595,1852,1375,2435,1973,3468,1953,1246,2269,2239,1339,2000,2585,1596,2111,855,3288,806,4714,2697,3610,2750,2064,1211
ATG18,2172,1406,1103,413,658,1579,477,498,741,917,434,988,576,503,903,782,5058,1324,2396,1440,1869,996,898,510
ATG19,2844,1546,2144,209,607,430,237,189,116,284,163,141,217,274,178,1847,7373,2206,1079,850,807,438,255,150
ATG20,87,46,98,0,0,0,51,0,2,0,1,0,86,1,0,285,359,173,52,94,23,11,4,6
ATG21,1758,1044,1239,1245,1415,1317,409,858,458,753,1061,650,715,696,685,130,682,120,2889,1959,1538,1073,1261,475
ATG23,1035,797,786,390,1176,1107,222,709,546,538,1012,634,289,853,519,46,446,46,907,1189,639,668,1207,308
ATG26,263,226,262,69,617,628,73,301,204,164,161,257,96,257,314,220,943,223,270,200,228,167,338,111
ATG27,617,659,1049,332,120,16,37,62,39,27,59,9,23,75,30,883,4398,815,550,388,328,127,132,38
ATG29,2592,2005,1921,681,56,88,430,86,74,704,85,73,592,76,54,2506,11369,2495,942,863,782,225,284,105
ATG3,2010,1375,1456,30,174,125,128,131,116,178,152,78,140,115,129,1843,7451,2090,659,422,431,87,125,30
ATG31,1559,1038,1286,699,139,252,225,186,50,402,324,82,237,121,105,1424,5713,1175,914,695,664,219,169,74
ATG32,1768,1683,1444,484,319,769,281,150,180,357,82,239,418,159,352,1598,8582,1902,816,775,676,443,384,199
ATG33,1681,1552,1258,1519,1279,1969,1345,1057,1140,1516,1002,1095,1569,1009,1426,721,2604,803,3328,1729,2395,2101,1815,1011
ATG34,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1,0,2,0,0,0,0
ATG36,1546,1059,973,2540,2114,4000,2448,2970,2511,2142,1587,1953,2526,2720,3436,222,885,135,2562,2065,2033,2119,2919,1525
ATG38,816,407,523,1625,132,995,789,205,413,1408,198,488,1046,169,389,238,846,296,1508,1023,1254,750,584,364
ATG39,1377,853,788,604,830,2025,324,382,551,508,626,376,460,457,518,256,2418,271,1288,902,989,585,462,288
ATG40,1144,819,770,225,131,295,145,38,61,194,113,85,167,61,69,968,4144,1288,571,452,455,139,121,74
ATG41,158,108,83,4,2,6,2,0,0,6,4,0,4,8,12,122,383,94,39,14,21,10,6,4
ATG42,1420,1120,1229,635,201,178,272,126,147,505,282,173,344,90,166,1460,7677,1445,684,500,582,138,210,79
ATG5,428,403,524,1112,1561,2259,384,1081,841,603,1666,1146,516,1264,1165,58,64,76,1049,750,641,737,1873,674
ATG7,1398,787,984,1719,903,1717,1288,787,619,1386,526,638,1391,799,864,433,1636,279,1568,816,1441,1401,865,541
ATG8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ATG9,1326,900,995,58,422,121,65,174,42,45,200,92,79,103,94,1316,4143,1040,682,544,500,141,203,77
ATH1,99,95,50,14,10,35,14,14,6,36,18,24,14,11,10,58,225,103,63,36,30,18,35,13
ATM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ATO2,1756,1071,1142,92,105,405,44,153,138,18,27,87,45,71,220,1446,5391,1486,351,273,329,92,67,58
ATO3,13,4,7,0,0,0,0,0,0,2,0,0,0,0,0,8,27,19,2,4,0,0,2,0
ATP1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
ATP10,83,33,32,0,6,0,0,27,1,0,0,0,0,8,0,98,305,97,26,22,16,2,3,8
ATP11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
