name,dck1,dck2,dck3,pd1,pd2,pd3,pg1,pg2,pg3,rd1,rd2,rd3,rg1,rg2,rg3,sov1,sov2,sov3,yd1,yd2,yd3,yg1,yg2,yg3
RFM1,507,460,509,251,32,1,132,26,6,111,66,3,156,30,51,733,2960,627,389,273,338,93,99,55
RFS1,837,353,704,29,40,8,53,21,37,57,47,33,62,28,71,484,3488,702,319,198,247,58,54,34
RFU1,7,8,8,0,0,0,0,0,0,2,0,0,1,0,0,4,45,2,2,2,0,0,0,0
RFX1,462,347,259,351,341,504,588,363,418,334,152,266,575,269,578,185,1302,202,554,405,583,661,581,260
RGA1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RGA2,1436,1021,997,343,95,84,183,127,88,100,75,76,181,100,128,1213,4937,1216,606,416,460,166,160,93
RGD1,1094,981,1021,144,101,133,104,29,113,267,91,149,171,22,206,1343,4536,962,638,521,395,118,175,48
RGD2,1745,1490,1218,1185,642,890,669,348,647,1392,454,561,902,333,670,394,1953,432,2355,1217,1762,1091,835,490
RGD3,2504,1792,1821,136,131,489,135,185,163,224,100,173,243,161,339,2618,8690,2849,879,735,637,279,347,140
RGI1,496,93,325,361,286,566,236,194,222,248,227,252,244,238,322,51,336,57,542,332,416,270,209,95
RGI2,1475,1414,1429,410,248,277,182,220,91,382,207,165,232,220,194,884,5605,1335,613,455,374,260,266,123
RGM1,1441,965,958,204,305,625,134,231,132,283,247,90,149,282,100,1408,5457,1264,433,492,425,164,364,95
RGP1,2328,1651,1823,194,60,76,94,51,123,171,31,126,131,75,228,2373,10300,2560,1127,854,837,244,295,117
RGS2,931,1097,766,44,105,550,138,266,226,162,153,139,197,269,355,802,4910,792,915,544,742,280,244,143
RGT1,779,428,508,1,124,0,0,87,11,0,227,8,8,161,7,665,2635,454,362,277,206,81,97,32
RGT2,3,0,2,0,0,2,0,2,0,0,0,0,2,0,0,0,7,0,0,2,0,0,0,0
RHB1,341,516,362,269,83,257,131,93,142,128,67,204,207,122,144,889,4288,741,337,331,297,336,509,141
RHO2,326,438,385,380,756,874,288,509,595,388,423,611,246,594,428,77,524,105,429,396,230,355,1167,323
RIB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RIB4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIC1,530,188,287,0,0,87,2,8,33,1,1,80,2,4,49,1244,3525,767,187,177,146,58,67,14
RIE1,1125,900,709,7651,3692,8895,5168,3009,4074,4172,2228,3530,5888,3188,6632,1569,6504,1376,5201,3338,5139,5529,4119,3445
RIF1,1468,916,1226,1,47,20,5,31,11,0,16,23,6,24,27,1279,5227,1514,198,132,128,46,42,24
RIF2,554,472,380,1431,1913,2879,781,1582,1611,885,1455,1572,890,1704,2305,83,221,76,1213,1193,839,1072,2250,825
RIM101,4428,3663,3242,253,31,578,452,175,338,99,53,297,362,157,451,7558,36065,8962,4276,2895,3353,1110,1144,546
RIM11,673,397,346,430,353,204,305,506,88,335,157,73,296,479,111,129,677,131,613,473,452,380,462,178
RIM13,787,579,823,183,0,357,171,26,99,183,0,96,198,8,118,1086,4723,1201,673,519,621,191,113,92
RIM15,6542,5981,5194,5653,9249,18172,6902,8473,8552,5275,7731,8719,6451,8282,13129,2398,11457,2918,8275,5187,7474,7811,7452,5026
RIM20,1188,792,883,28,89,45,88,81,60,11,7,54,107,82,77,2293,6499,1956,1274,898,1037,238,234,154
RIM21,914,673,461,19,24,133,70,39,82,5,2,66,56,37,30,1989,6717,1548,989,644,788,202,165,107
RIM4,322,272,163,551,819,2208,455,814,638,426,739,673,457,825,894,49,134,66,593,383,319,417,1043,452
RIM9,1025,840,972,25,42,87,72,57,36,2,17,42,52,29,92,1703,7548,1706,450,348,350,62,66,34
RIP1,30,8,3,0,0,0,0,0,1,0,0,0,0,0,0,13,59,32,4,0,12,2,2,2
RIX7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RKM1,4280,3142,3257,421,403,378,183,340,229,345,316,325,281,295,304,3815,16124,4005,1765,1409,1480,508,465,218
RKM2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RKM3,466,263,293,2,24,0,32,27,0,1,20,0,25,16,2,411,1217,444,146,133,95,20,27,22
RKM4,1057,888,828,166,227,426,146,265,132,184,327,106,122,210,283,346,1660,301,942,943,586,627,1114,351
RKM5,888,961,611,132,81,19,239,92,16,103,62,13,206,77,27,688,4480,884,479,379,365,71,115,56
RKR1,3109,1847,1966,864,106,168,245,193,122,226,163,180,356,160,105,2512,10832,2767,1043,871,783,270,244,93
RLI1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RLM1,880,398,513,1857,1256,1947,1454,1092,802,1535,600,686,1559,947,981,161,510,139,1194,703,959,1498,1195,603
RMA1,715,592,608,144,72,194,60,60,26,77,56,23,109,46,36,498,1698,607,368,256,271,70,130,76
RMD1,333,460,359,0,0,34,0,3,44,2,1,15,2,1,37,707,2698,754,46,75,34,2,12,2
